iter	Accuracy	Logloss
273	1	0.0326688015
274	1	0.03251849785
275	1	0.03246538387
276	1	0.03241358807
277	1	0.03226261216
278	1	0.03189604122
279	1	0.03169381412
280	1	0.03165317087
281	1	0.03153759465
282	1	0.03140713287
283	1	0.03130726358
284	1	0.03119514066
285	1	0.03114499578
286	1	0.03103709834
287	1	0.03073428231
288	1	0.03070440333
289	1	0.03054247943
290	1	0.03031524557
291	1	0.0302718229
292	1	0.03012636961
293	1	0.02988803674
294	1	0.02978303354
295	1	0.02965550847
296	1	0.02948532661
297	1	0.02938891521
298	1	0.0293104036
299	1	0.02906360303
