iter	Accuracy	Logloss
0	0.8728813559	0.6519885495
1	0.8813559322	0.6129180034
2	0.8919491525	0.5688656721
3	0.8792372881	0.5392520883
4	0.8834745763	0.5131384946
5	0.8877118644	0.4841755569
6	0.8961864407	0.4611078063
7	0.8940677966	0.4407278537
8	0.8961864407	0.4201892372
9	0.8983050847	0.4038594458
10	0.9004237288	0.3891395196
11	0.9025423729	0.3780855736
12	0.9004237288	0.3614680376
13	0.9025423729	0.347224392
14	0.906779661	0.337732616
15	0.9110169492	0.3260321379
16	0.9131355932	0.3164658541
17	0.9131355932	0.306667446
18	0.9131355932	0.2978735136
19	0.9152542373	0.2910370123
20	0.9131355932	0.2843401017
21	0.9131355932	0.2796933359
22	0.9152542373	0.2758486335
23	0.9152542373	0.2709169618
24	0.9152542373	0.2668365331
25	0.9152542373	0.2629405965
26	0.9152542373	0.2572770273
27	0.9152542373	0.2540166649
28	0.9152542373	0.2495046943
29	0.9152542373	0.2446244532
30	0.9131355932	0.2403138211
31	0.9131355932	0.2372407377
32	0.9131355932	0.2345165356
33	0.9152542373	0.2322791598
34	0.9216101695	0.2276055471
35	0.9216101695	0.2250609815
36	0.9216101695	0.2226136175
37	0.9237288136	0.2192495163
38	0.9279661017	0.2171744554
39	0.9300847458	0.2125249255
40	0.9322033898	0.209915303
41	0.9322033898	0.2071820984
42	0.9322033898	0.2061055413
43	0.9343220339	0.2019949758
44	0.9343220339	0.2000610661
45	0.9343220339	0.1991018704
46	0.9343220339	0.1960700249
47	0.936440678	0.1935401852
48	0.936440678	0.1900129321
49	0.9406779661	0.1881729476
50	0.9406779661	0.1853588199
51	0.9427966102	0.1820586294
52	0.9427966102	0.1791528358
53	0.9427966102	0.1776083089
54	0.9427966102	0.1753844954
55	0.9449152542	0.1740990006
56	0.9427966102	0.1729371433
57	0.9449152542	0.1701901532
58	0.9449152542	0.167905776
59	0.9449152542	0.1647314064
60	0.9449152542	0.1619890008
61	0.9470338983	0.1606950416
62	0.9449152542	0.1599280321
63	0.9449152542	0.1583525547
64	0.9470338983	0.1571120891
65	0.9470338983	0.1553375177
66	0.9470338983	0.1535567731
67	0.9491525424	0.1517503902
68	0.9491525424	0.1504249167
69	0.9491525424	0.14909251
70	0.9512711864	0.1480879964
71	0.9512711864	0.1463141129
72	0.9512711864	0.1441891762
73	0.9533898305	0.1433303241
74	0.9533898305	0.1422600512
75	0.9555084746	0.1397228605
76	0.9555084746	0.138984677
77	0.9576271186	0.1372070195
78	0.9618644068	0.1359857794
79	0.9597457627	0.134193202
80	0.9618644068	0.1325053002
81	0.9639830508	0.1318748953
82	0.9639830508	0.1295258519
83	0.9639830508	0.127776368
84	0.968220339	0.1258365802
85	0.9661016949	0.125111431
86	0.9661016949	0.1242285235
87	0.968220339	0.1227698382
88	0.968220339	0.1222989994
89	0.9703389831	0.1215394812
90	0.9703389831	0.1204896814
91	0.9724576271	0.1190894885
92	0.9724576271	0.1177540347
93	0.9745762712	0.1163371972
94	0.9745762712	0.1153596007
95	0.9745762712	0.1148840288
96	0.9745762712	0.1140938845
97	0.9745762712	0.1124393563
98	0.9745762712	0.1116055966
99	0.9745762712	0.1106623717
100	0.9745762712	0.1101755662
101	0.9745762712	0.1092883467
102	0.9788135593	0.1085728196
103	0.9788135593	0.1075147327
104	0.9788135593	0.1064794312
105	0.9830508475	0.1060312021
106	0.9830508475	0.1054941065
107	0.9809322034	0.1045888387
108	0.9830508475	0.1038684389
109	0.9830508475	0.1028570392
110	0.9851694915	0.1016529753
111	0.9851694915	0.1009018051
112	0.9851694915	0.1003279606
113	0.9851694915	0.09956318625
114	0.9851694915	0.09817816887
115	0.9851694915	0.09733667278
116	0.9851694915	0.0962782035
117	0.9851694915	0.09500215454
118	0.9851694915	0.09371668284
119	0.9851694915	0.09293395359
120	0.9851694915	0.09206672293
121	0.9872881356	0.09143769697
122	0.9872881356	0.09071183591
123	0.9872881356	0.08969522311
124	0.9872881356	0.08914878446
125	0.9872881356	0.08807792364
126	0.9872881356	0.0874922199
127	0.9872881356	0.08695744913
128	0.9872881356	0.08595851056
129	0.9872881356	0.08532261771
130	0.9872881356	0.08482137403
131	0.9894067797	0.08393822376
132	0.9894067797	0.08382186274
133	0.9894067797	0.08290595182
134	0.9915254237	0.08228050877
135	0.9915254237	0.08187031297
136	0.9915254237	0.08087877952
137	0.9894067797	0.08036650752
138	0.9915254237	0.0799533394
139	0.9915254237	0.07948134828
140	0.9915254237	0.07881107811
141	0.9915254237	0.07786949964
142	0.9915254237	0.07657959106
143	0.9915254237	0.07588817237
144	0.9915254237	0.07494294071
145	0.9915254237	0.07450161733
146	0.9915254237	0.07433430138
147	0.9915254237	0.07424120462
148	0.9936440678	0.07367741682
149	0.9936440678	0.07286074357
150	0.9936440678	0.07240145485
151	0.9936440678	0.07207912511
152	0.9936440678	0.07165281825
153	0.9936440678	0.07052746855
154	0.9936440678	0.06989176495
155	0.9936440678	0.06939898492
156	0.9957627119	0.06809375989
157	0.9957627119	0.06751185939
158	0.9957627119	0.06674677875
159	0.9957627119	0.06669075289
160	0.9957627119	0.06585821469
161	0.9957627119	0.06550611395
162	0.9957627119	0.06516158349
163	0.9957627119	0.06450075026
164	0.9957627119	0.06418607148
165	0.9957627119	0.06345435717
166	0.9957627119	0.06311198314
167	0.9957627119	0.06275308636
168	0.9957627119	0.06220623036
169	0.9957627119	0.06206084639
170	0.9957627119	0.06178955788
171	0.9957627119	0.06107674742
172	0.9957627119	0.06043199467
173	0.9957627119	0.05981414721
174	0.9957627119	0.05937747938
175	0.9957627119	0.0588330505
176	0.9957627119	0.05875962344
177	0.9957627119	0.05872104442
178	0.9957627119	0.05841812115
179	0.9957627119	0.05796707497
180	0.9957627119	0.05684090781
181	0.9957627119	0.05640897373
182	0.9957627119	0.05594404139
183	0.9957627119	0.05581664832
184	0.9957627119	0.05514526572
185	0.9978813559	0.05462527123
186	0.9978813559	0.05400000321
187	0.9978813559	0.05348396062
188	0.9978813559	0.05283596517
189	0.9978813559	0.05265831154
190	0.9978813559	0.05207685643
191	0.9978813559	0.051478748
192	0.9978813559	0.05119304667
193	0.9978813559	0.05090475101
194	0.9978813559	0.05073229171
195	0.9978813559	0.05035223722
196	0.9978813559	0.04990355724
197	0.9978813559	0.04947577155
198	0.9978813559	0.0494133198
199	0.9978813559	0.04891351179
200	0.9978813559	0.04870165038
201	0.9978813559	0.04832272106
202	0.9978813559	0.04811802023
203	0.9978813559	0.04801173158
204	0.9978813559	0.04795429863
205	0.9978813559	0.04744745268
206	0.9978813559	0.04703968061
207	0.9978813559	0.04688328656
208	0.9978813559	0.04657009832
209	0.9978813559	0.04625073392
210	0.9978813559	0.04589581881
211	0.9978813559	0.04551108091
212	0.9978813559	0.04516213629
213	0.9978813559	0.04483668966
214	0.9978813559	0.04461692435
215	0.9978813559	0.04459207625
216	0.9978813559	0.04405898593
217	0.9978813559	0.04379150938
218	0.9978813559	0.04347891331
219	0.9978813559	0.04323753714
220	0.9978813559	0.04303642707
221	0.9978813559	0.04283471049
222	1	0.04261647624
223	1	0.04213491697
224	1	0.04162947802
225	1	0.04138625758
226	1	0.04117358417
227	1	0.04099365395
228	1	0.04063367509
229	1	0.04044065319
230	1	0.04041332256
231	1	0.04017291316
232	1	0.0398762454
233	1	0.03976462715
234	1	0.03944019925
235	1	0.03908260988
236	1	0.03878652666
237	1	0.03855450988
238	1	0.03833711493
239	1	0.03807222396
240	1	0.03787960785
241	1	0.03769519405
242	1	0.03753671568
243	1	0.03741840252
244	1	0.0372683878
245	1	0.03719989697
246	1	0.03702884113
247	1	0.03675749662
248	1	0.03656281604
249	1	0.03635897139
250	1	0.03619818394
251	1	0.03594634846
252	1	0.03570802457
253	1	0.03543817536
254	1	0.03539323884
255	1	0.03525323412
256	1	0.03502844394
257	1	0.03481516365
258	1	0.03471220379
259	1	0.03465951777
260	1	0.0344489749
261	1	0.03432068454
262	1	0.034126214
263	1	0.03411334953
264	1	0.03394747533
265	1	0.03372244045
266	1	0.03355142468
267	1	0.03351175531
268	1	0.0333135796
269	1	0.03314476057
270	1	0.0330464577
271	1	0.03293205011
272	1	0.03283433294
